path,current_first_line,status,notes
Dumper/ContentPanel.cs,// ContentPanel,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/ContentPanelHeader.cs,// ContentPanelHeader,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Files/FileIcon.cs,// FileIcon,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Main.cs,// Main,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Models/Memento.cs,// Memento,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Models/Project.cs,// Project,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/DefaultViewerChooser.cs,// DefaultViewerChooser,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/EmptyView.cs,// EmptyView,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/IPlugin.cs,// IViewerPlugin,mismatch,"Header name `IViewerPlugin` does not match the file's primary type `IPlugin`"
Dumper/Plugins/IViewerPlugin.cs,// IViewerPlugin,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/PluginError.cs,// PluginException,mismatch,"Header name `PluginException` does not match the file's primary type `PluginError`"
Dumper/Plugins/PluginManager.cs,// PluginManager,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/PluginsDialog.cs,// PluginsDialog,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/ViewerPlugin.cs,// ViewerPlugin,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Properties/Settings.cs,// Settings,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/ResourceProperties.cs,// ResourceProperties,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Analyzers/DisposableOwnershipAnalyzer.cs,// DisposableOwnershipAnalyzer,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Assets/AssetException.cs,// AssetException,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Assets/TextureLoader.cs,// TextureLoader,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Camera.cs,// Camera,unhelpful,"First line is the file's type name; needs a descriptive summary"
