file,sid_count,svd_count,sid_samples,svd_samples,crash
SceneryIcons.common.ovl,0,0,,,
SceneryIcons.unique.ovl,0,0,,,
sharedtextures\controlpanel.common.ovl,0,0,,,
sharedtextures\controlpanel.unique.ovl,0,0,,,
sharedtextures\pooltiles.common.ovl,0,0,,,
sharedtextures\pooltiles.unique.ovl,0,0,,,
sharedtextures\sceneryultralowflexi.common.ovl,0,0,,,
sharedtextures\sceneryultralowflexi.unique.ovl,0,0,,,
sharedtextures\SharedTextures.common.ovl,0,0,,,
sharedtextures\SharedTextures.unique.ovl,0,0,,,
sharedtextures\sharedtextures01.common.ovl,0,0,,,
sharedtextures\sharedtextures01.unique.ovl,0,0,,,
ShopsIcons.common.ovl,0,0,,,
ShopsIcons.unique.ovl,0,0,,,
Themed\Adventure\AdventureUltraLow01.common.ovl,0,0,,,
Themed\Adventure\AdventureUltraLow01.unique.ovl,0,0,,,
Themed\Adventure\BrassTexture.common.ovl,0,0,,,
Themed\Adventure\BrassTexture.unique.ovl,0,0,,,
Themed\Adventure\EntranceExit\BambooRideEntrance\bambooentrancetexture.common.ovl,0,0,,,
Themed\Adventure\EntranceExit\BambooRideEntrance\bambooentrancetexture.unique.ovl,0,0,,,
Themed\Adventure\EntranceExit\BambooRideEntrance\RideEntrance.common.ovl,0,1,,RideEntrance,
Themed\Adventure\EntranceExit\BambooRideEntrance\RideEntrance.unique.ovl,0,1,,RideEntrance,
Themed\Adventure\EntranceExit\BambooRideEntrance\RideExit.common.ovl,0,1,,RideExit,
Themed\Adventure\EntranceExit\BambooRideEntrance\RideExit.unique.ovl,0,1,,RideExit,
Themed\Adventure\EntranceExit\MainEntrance\AdvEnt.common.ovl,0,1,,AdvEnt,
Themed\Adventure\EntranceExit\MainEntrance\AdvEnt.unique.ovl,0,1,,AdvEnt,
Themed\Adventure\EntranceExit\TimberEntrance\TimberDoors.common.ovl,0,1,,TimberDoors,
Themed\Adventure\EntranceExit\TimberEntrance\TimberDoors.unique.ovl,0,1,,TimberDoors,
Themed\Adventure\EntranceExit\WoodenRideEntrance\boatentrancetexture.common.ovl,0,0,,,
Themed\Adventure\EntranceExit\WoodenRideEntrance\boatentrancetexture.unique.ovl,0,0,,,
Themed\Adventure\EntranceExit\WoodenRideEntrance\RideEntrance02.common.ovl,0,1,,RideEntrance02,
Themed\Adventure\EntranceExit\WoodenRideEntrance\RideEntrance02.unique.ovl,0,1,,RideEntrance02,
Themed\Adventure\EntranceExit\WoodenRideEntrance\RideExit02.common.ovl,0,1,,RideExit02,
Themed\Adventure\EntranceExit\WoodenRideEntrance\RideExit02.unique.ovl,0,1,,RideExit02,
Themed\Adventure\Fences\Piratefence\Piratefence.common.ovl,0,1,,Piratefence,
Themed\Adventure\Fences\Piratefence\Piratefence.unique.ovl,0,1,,Piratefence,
Themed\Adventure\Fences\Piratefence\piratefenceshared.common.ovl,0,0,,,
Themed\Adventure\Fences\Piratefence\piratefenceshared.unique.ovl,0,0,,,
Themed\Adventure\Fences\RickertyFence\RickertyFence.common.ovl,0,1,,RickertyFence,
Themed\Adventure\Fences\RickertyFence\RickertyFence.unique.ovl,0,1,,RickertyFence,
Themed\Adventure\Fences\RickertyFence\rock.common.ovl,0,0,,,
Themed\Adventure\Fences\RickertyFence\rock.unique.ovl,0,0,,,
Themed\Adventure\Fences\SultansPalaceFence\sult_fence.common.ovl,0,1,,sult_fence,
Themed\Adventure\Fences\SultansPalaceFence\sult_fence.unique.ovl,0,1,,sult_fence,
Themed\Adventure\PathExtras\GoldLamp\GoldLamp.common.ovl,0,2,,GoldLamp|GoldLampScenery,
Themed\Adventure\PathExtras\GoldLamp\GoldLamp.unique.ovl,0,2,,GoldLamp|GoldLampScenery,
Themed\Adventure\PathExtras\GoldLitterBin\GoldLitterBin.common.ovl,0,1,,GoldLitterBin,
Themed\Adventure\PathExtras\GoldLitterBin\GoldLitterBin.unique.ovl,0,1,,GoldLitterBin,
Themed\Adventure\PathExtras\LogBench\LogBench.common.ovl,0,1,,LogBench,
Themed\Adventure\PathExtras\LogBench\LogBench.unique.ovl,0,1,,LogBench,
Themed\Adventure\PathExtras\Signs\BambooSign.common.ovl,0,1,,BambooSign,
Themed\Adventure\PathExtras\Signs\BambooSign.unique.ovl,0,1,,BambooSign,
Themed\Adventure\PathExtras\Signs\MarbleSign.common.ovl,0,1,,MarbleSign,
Themed\Adventure\PathExtras\Signs\MarbleSign.unique.ovl,0,1,,MarbleSign,
