file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\AirPoweredRC\AirPoweredRC.common.ovl,spl,2,"CARCar; TRACKTrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\AirPoweredRC\AirPoweredRC.unique.ovl,spl,2,"CARCar; TRACKTrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\AlpineCoaster\AlpineCoaster.common.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\AlpineCoaster\AlpineCoaster.unique.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\BallCoaster\BallCoaster.common.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\BallCoaster\BallCoaster.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Bobsleigh\BobSleigh.common.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Bobsleigh\BobSleigh.unique.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\BoosterBikes\BoosterBikes.common.ovl,spl,2,"TRACKTrack; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\BoosterBikes\BoosterBikes.unique.ovl,spl,2,"TRACKTrack; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\CompactInverted\CompactInverted.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\CompactInverted\CompactInverted.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Corkscrew\Corkscrew.common.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Corkscrew\Corkscrew.unique.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Dingy\Dingy.common.ovl,spl,3,"TRACKBIGTRACKBIG; TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Dingy\Dingy.unique.ovl,spl,3,"TRACKBIGTRACKBIG; TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Drifting\Drifting.common.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Drifting\Drifting.unique.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Endless\Endless.common.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Endless\Endless.unique.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Floorless\Floorless.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Floorless\Floorless.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Flyer\Flyer.common.ovl,spl,2,"TRACKTrack; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Flyer\Flyer.unique.ovl,spl,2,"TRACKTrack; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Flying\Flying.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Flying\Flying.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Flyturn\Flyturn.common.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Flyturn\Flyturn.unique.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\FrequentFaller\FrequentFaller.common.ovl,spl,2,"trackTrack; carCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\FrequentFaller\FrequentFaller.unique.ovl,spl,2,"trackTrack; carCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\GiantFlume\GiantFlume.common.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\GiantFlume\GiantFlume.unique.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Giga\Giga.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Giga\Giga.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Halfpipe\Halfpipe.common.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Halfpipe\Halfpipe.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Heartline\Heartline.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Heartline\Heartline.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\HyperCoaster\HyperCoaster.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\HyperCoaster\HyperCoaster.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\HyperTwist\HyperTwist.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\HyperTwist\HyperTwist.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedHairpin\InvertedHairpin.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedHairpin\InvertedHairpin.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedImpulse\InvertedImpulse.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedImpulse\InvertedImpulse.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedRollerCoaster\InvertedRollerCoaster.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedRollerCoaster\InvertedRollerCoaster.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedShuttle\InvertedShuttle.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedShuttle\InvertedShuttle.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedVerticalShuttle\InvertedVerticalShuttle.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\InvertedVerticalShuttle\InvertedVerticalShuttle.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\JuniorCoaster\JuniorCoaster.common.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\JuniorCoaster\JuniorCoaster.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\LayDown\Laydown.common.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\LayDown\Laydown.unique.ovl,spl,2,"TRACKTRACK; CARCAR"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\LIMLaunched\LIMLaunched.common.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\LIMLaunched\LIMLaunched.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\LoopingRC\LoopingRC.common.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\LoopingRC\LoopingRC.unique.ovl,spl,2,"TRACKTrack; CARCar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MineRide\MineRide.common.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MineRide\MineRide.unique.ovl,spl,2,"tracktrack; carcar"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MineTrain\MineTrain.common.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MineTrain\MineTrain.unique.ovl,spl,2,"CARCAR; TRACKTRACK"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MiniCoaster\MiniCoaster.common.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MiniCoaster\MiniCoaster.unique.ovl,spl,2,"carcar; tracktrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MiniSuspended\MiniSuspended.common.ovl,spl,2,"CARCar; TRACKTrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MiniSuspended\MiniSuspended.unique.ovl,spl,2,"CARCar; TRACKTrack"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\MultiDimensional\MultiDimensional.common.ovl,spl,2,"TRACKTRACK; CARCAR"
