file,spl_count,tks_count,spl_samples,tks_samples
tracks\coasters\AirPoweredRC\AirPoweredRC.common.ovl,2,0,"CARCar; TRACKTrack",""
tracks\coasters\AirPoweredRC\AirPoweredRC.unique.ovl,2,0,"CARCar; TRACKTrack",""
tracks\coasters\AlpineCoaster\AlpineCoaster.common.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\AlpineCoaster\AlpineCoaster.unique.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\BallCoaster\BallCoaster.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\BallCoaster\BallCoaster.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\Bobsleigh\BobSleigh.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\Bobsleigh\BobSleigh.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\BoosterBikes\BoosterBikes.common.ovl,2,0,"TRACKTrack; CARCAR",""
tracks\coasters\BoosterBikes\BoosterBikes.unique.ovl,2,0,"TRACKTrack; CARCAR",""
tracks\coasters\CompactInverted\CompactInverted.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\CompactInverted\CompactInverted.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\Corkscrew\Corkscrew.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\Corkscrew\Corkscrew.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\Dingy\Dingy.common.ovl,3,0,"TRACKBIGTRACKBIG; TRACKTRACK; CARCAR",""
tracks\coasters\Dingy\Dingy.unique.ovl,3,0,"TRACKBIGTRACKBIG; TRACKTRACK; CARCAR",""
tracks\coasters\Drifting\Drifting.common.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\Drifting\Drifting.unique.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\Endless\Endless.common.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\Endless\Endless.unique.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\Floorless\Floorless.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\Floorless\Floorless.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\Flyer\Flyer.common.ovl,2,0,"TRACKTrack; CARCAR",""
tracks\coasters\Flyer\Flyer.unique.ovl,2,0,"TRACKTrack; CARCAR",""
tracks\coasters\Flying\Flying.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\Flying\Flying.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\Flyturn\Flyturn.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\Flyturn\Flyturn.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\FrequentFaller\FrequentFaller.common.ovl,2,0,"trackTrack; carCar",""
tracks\coasters\FrequentFaller\FrequentFaller.unique.ovl,2,0,"trackTrack; carCar",""
tracks\coasters\GiantFlume\GiantFlume.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\GiantFlume\GiantFlume.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\Giga\Giga.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\Giga\Giga.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\Halfpipe\Halfpipe.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\Halfpipe\Halfpipe.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\Heartline\Heartline.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\Heartline\Heartline.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\HyperCoaster\HyperCoaster.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\HyperCoaster\HyperCoaster.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\HyperTwist\HyperTwist.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\HyperTwist\HyperTwist.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\InvertedHairpin\InvertedHairpin.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\InvertedHairpin\InvertedHairpin.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\InvertedImpulse\InvertedImpulse.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\InvertedImpulse\InvertedImpulse.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\InvertedRollerCoaster\InvertedRollerCoaster.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\InvertedRollerCoaster\InvertedRollerCoaster.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\InvertedShuttle\InvertedShuttle.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\InvertedShuttle\InvertedShuttle.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\InvertedVerticalShuttle\InvertedVerticalShuttle.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\InvertedVerticalShuttle\InvertedVerticalShuttle.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\JuniorCoaster\JuniorCoaster.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\JuniorCoaster\JuniorCoaster.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\LayDown\Laydown.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\LayDown\Laydown.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\LIMLaunched\LIMLaunched.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\LIMLaunched\LIMLaunched.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\LoopingRC\LoopingRC.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\LoopingRC\LoopingRC.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\MineRide\MineRide.common.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\MineRide\MineRide.unique.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\MineTrain\MineTrain.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\MineTrain\MineTrain.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\MiniCoaster\MiniCoaster.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\MiniCoaster\MiniCoaster.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\MiniSuspended\MiniSuspended.common.ovl,2,0,"CARCar; TRACKTrack",""
tracks\coasters\MiniSuspended\MiniSuspended.unique.ovl,2,0,"CARCar; TRACKTrack",""
tracks\coasters\MultiDimensional\MultiDimensional.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\MultiDimensional\MultiDimensional.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\Pipeline\Pipeline.common.ovl,2,0,"CARCar; TRACKTrack",""
tracks\coasters\Pipeline\Pipeline.unique.ovl,2,0,"CARCar; TRACKTrack",""
tracks\coasters\ReverseCoaster\ReverseCoaster.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\ReverseCoaster\ReverseCoaster.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\Reverser\Reverser.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\Reverser\Reverser.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\RoboCoaster\RoboCoaster.common.ovl,2,0,"TRACKTRACK; CARCar",""
tracks\coasters\RoboCoaster\RoboCoaster.unique.ovl,2,0,"TRACKTRACK; CARCar",""
tracks\coasters\RotatingTowerCoaster\RotatingTowerCoaster.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\RotatingTowerCoaster\RotatingTowerCoaster.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\ScreamingSquirrel\ScreamingSquirrel.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\ScreamingSquirrel\ScreamingSquirrel.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\SeaSerpent\SeaSerpent.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\SeaSerpent\SeaSerpent.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\Seizmic\Seizmic.common.ovl,2,0,"trackTrack; carCar",""
tracks\coasters\Seizmic\Seizmic.unique.ovl,2,0,"trackTrack; carCar",""
tracks\coasters\SideFriction\SideFriction.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\SideFriction\SideFriction.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\SkySwinger\SkySwinger.common.ovl,3,0,"trackbigTrackBig; trackTrack; carCar",""
tracks\coasters\SkySwinger\SkySwinger.unique.ovl,3,0,"trackbigTrackBig; trackTrack; carCar",""
tracks\coasters\SpinningSteel\SpinningSteel.common.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\SpinningSteel\SpinningSteel.unique.ovl,2,0,"TRACKTRACK; CARCAR",""
tracks\coasters\SpinningWild\SpinningWild.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\SpinningWild\SpinningWild.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\SpiralCoaster\SpiralCoaster.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\SpiralCoaster\SpiralCoaster.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\StandupCoaster\StandupCoaster.common.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\StandupCoaster\StandupCoaster.unique.ovl,2,0,"CARCAR; TRACKTRACK",""
tracks\coasters\StandupTwister\StandupTwister.common.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\StandupTwister\StandupTwister.unique.ovl,2,0,"carcar; tracktrack",""
tracks\coasters\Stormrunner\Stormrunner.common.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\Stormrunner\Stormrunner.unique.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\StratoCoaster\StratoCoaster.common.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\StratoCoaster\StratoCoaster.unique.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\SuperSoaker\SuperSoaker.common.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\SuperSoaker\SuperSoaker.unique.ovl,2,0,"tracktrack; carcar",""
tracks\coasters\SuspendedFlying\SuspendedFlying.common.ovl,3,0,"TRACKBIGTrackBig; TRACKTrack; CARCar",""
tracks\coasters\SuspendedFlying\SuspendedFlying.unique.ovl,3,0,"TRACKBIGTrackBig; TRACKTrack; CARCar",""
tracks\coasters\SuspendedSwinging\SuspendedSwinging.common.ovl,3,0,"tracktrack; carswingcarswing; carcar",""
tracks\coasters\SuspendedSwinging\SuspendedSwinging.unique.ovl,3,0,"tracktrack; carswingcarswing; carcar",""
tracks\coasters\TiltCoaster\TiltCoaster.common.ovl,3,0,"CARCAR; TRACKBIGTRACKBIG; TRACKTRACK",""
tracks\coasters\TiltCoaster\TiltCoaster.unique.ovl,3,0,"CARCAR; TRACKBIGTRACKBIG; TRACKTRACK",""
tracks\coasters\TowerCoaster\TowerCoaster.common.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\TowerCoaster\TowerCoaster.unique.ovl,2,0,"TRACKTrack; CARCar",""
tracks\coasters\Track1\Track1.common.ovl,32,16,"MedcurveL_spline; MedcurveR_spline; PhotosectionL_Spline","Medcurve; Photosection; Stationmiddle"
tracks\coasters\Track1\Track1.unique.ovl,32,16,"MedcurveL_spline; MedcurveR_spline; PhotosectionL_Spline","Medcurve; Photosection; Stationmiddle"
tracks\coasters\Track10\Track10.common.ovl,200,100,"steepslope2medslopetiltleftl_spline; Helixlargeleftr_spline; medslopetiltleft2straighttiltleftr_spline","Medslopetightcurverightchain; 45steepslope2medslopetiltleft; Medslopechain"
tracks\coasters\Track10\Track10.unique.ovl,200,100,"steepslope2medslopetiltleftl_spline; Helixlargeleftr_spline; medslopetiltleft2straighttiltleftr_spline","Medslopetightcurverightchain; 45steepslope2medslopetiltleft; Medslopechain"
tracks\coasters\Track11\Track11.common.ovl,278,139,"Tiltedmedslopeloosecurverightl_spline; Medslopeoverbankedcurverightr_spline; Tilt90r_spline","Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
tracks\coasters\Track11\Track11.unique.ovl,278,139,"Tiltedmedslopeloosecurverightl_spline; Medslopeoverbankedcurverightr_spline; Tilt90r_spline","Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
tracks\coasters\Track12\Track12.common.ovl,76,38,"45medslope2straightL_Spline; 45medslope2straightR_Spline; 45medslope2straighttiltleftL_Spline","45medslope2straight; 45medslope2straighttiltleft; 45medslope2straighttiltright"
tracks\coasters\Track12\Track12.unique.ovl,76,38,"45medslope2straightL_Spline; 45medslope2straightR_Spline; 45medslope2straighttiltleftL_Spline","45medslope2straight; 45medslope2straighttiltleft; 45medslope2straighttiltright"
tracks\coasters\Track13\Track13.common.ovl,176,88,"45medslope2steepslopeL_Spline; 45medslope2steepslopeR_Spline; 45medslope2straightchainL_Spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track13\Track13.unique.ovl,176,88,"45medslope2steepslopeL_Spline; 45medslope2steepslopeR_Spline; 45medslope2straightchainL_Spline","45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
tracks\coasters\Track14\Track14.common.ovl,223,24,"45medslope2straight45medslope2straight_BB; 45medslope2straight45medslope2straight_HI; 45medslope2straight45medslope2straight_LO","45medslope2straight; 45medslope2straightchain; 45medslope"
tracks\coasters\Track14\Track14.unique.ovl,223,24,"45medslope2straight45medslope2straight_BB; 45medslope2straight45medslope2straight_HI; 45medslope2straight45medslope2straight_LO","45medslope2straight; 45medslope2straightchain; 45medslope"
tracks\coasters\Track15\Track15.common.ovl,316,158,"45invmedslope2steepslopeL_spline; 45invmedslope2steepslopeR_spline; 45invmedslope2straightL_spline","45invmedslope2steepslope; 45invmedslope2straight; 45invmedslope2tiltleft"
tracks\coasters\Track15\Track15.unique.ovl,316,158,"45invmedslope2steepslopeL_spline; 45invmedslope2steepslopeR_spline; 45invmedslope2straightL_spline","45invmedslope2steepslope; 45invmedslope2straight; 45invmedslope2tiltleft"
tracks\coasters\Track16\Track16.common.ovl,34,15,"MedcurveL_spline; MedcurveR_spline; Medslope2straightchainL_spline","Medcurve; Medslope2straight; Medslope2straightchain"
tracks\coasters\Track16\Track16.unique.ovl,34,15,"MedcurveL_spline; MedcurveR_spline; Medslope2straightchainL_spline","Medcurve; Medslope2straight; Medslope2straightchain"
tracks\coasters\Track17\Track17.common.ovl,46,23,"45medslope2straightchainL_spline; 45medslope2straightchainR_spline; 45medslope2straightL_spline","45medslope2straight; 45medslope2straightchain; 45medslope"
