file,shs_entries,sample_symbols,crash
Main.common.ovl,3,FlyingCamera_Control|FlyingCamera_Camera|FlyingCamera_Target,
Main.unique.ovl,3,FlyingCamera_Control|FlyingCamera_Camera|FlyingCamera_Target,
ACAM\ACAM.common.ovl,2,ACAMHull|OldACAMWheel,
ACAM\ACAM.unique.ovl,2,ACAMHull|OldACAMWheel,
ACAM\Buggy.common.ovl,2,BuggyHull|BuggyWheel,
ACAM\Buggy.unique.ovl,2,BuggyHull|BuggyWheel,
ACAM\Truck.common.ovl,2,ACAMWheel|TruckHull,
ACAM\Truck.unique.ovl,2,ACAMWheel|TruckHull,
CarriedItems\CTCarriedItems.common.ovl,3,SunglassesAdult|SunglassesKids|SunglassesTeen,
CarriedItems\CTCarriedItems.unique.ovl,3,SunglassesAdult|SunglassesKids|SunglassesTeen,
CarriedItems\MainCarriedItems.common.ovl,50,BloodMilkShake|InflatableHammer|SpookieTopHat,
CarriedItems\MainCarriedItems.unique.ovl,50,BloodMilkShake|InflatableHammer|SpookieTopHat,
CarriedItems\MoreCarriedItems.common.ovl,2,Donut|Fries,
CarriedItems\MoreCarriedItems.unique.ovl,2,Donut|Fries,
CarriedItems\WildCarriedItems.common.ovl,13,antelope|bear|leopardpaw,
CarriedItems\WildCarriedItems.unique.ovl,13,antelope|bear|leopardpaw,
Lights\Lights.common.ovl,1,Lightsphere,
Lights\Lights.unique.ovl,1,Lightsphere,
Sky\Sky.common.ovl,5,Mountains|Clouds|MilkyWay,
Sky\Sky.unique.ovl,5,Mountains|Clouds|MilkyWay,
Supports\GirderSingle.common.ovl,1,SingleBlock,
Supports\GirderSingle.unique.ovl,1,SingleBlock,
Supports\RomPilBotShort_1H.common.ovl,3,RomPilBotShort_1H_L1|RomPilBotShort_1H_L2|RomPilBotShort_1H_L3,
Supports\RomPilBotShort_1H.unique.ovl,3,RomPilBotShort_1H_L1|RomPilBotShort_1H_L2|RomPilBotShort_1H_L3,
Supports\RomPilBot_1H.common.ovl,3,RomPilBot_1H_L1|RomPilBot_1H_L2|RomPilBot_1H_L3,
Supports\RomPilBot_1H.unique.ovl,3,RomPilBot_1H_L1|RomPilBot_1H_L2|RomPilBot_1H_L3,
Supports\RomPilTop_1H.common.ovl,3,RomPilTop_1H_L1|RomPilTop_1H_L2|RomPilTop_1H_L3,
Supports\RomPilTop_1H.unique.ovl,3,RomPilTop_1H_L1|RomPilTop_1H_L2|RomPilTop_1H_L3,
Supports\RomPil_1H.common.ovl,3,RomPil_1H_L1|RomPil_1H_L2|RomPil_1H_L3,
Supports\RomPil_1H.unique.ovl,3,RomPil_1H_L1|RomPil_1H_L2|RomPil_1H_L3,
Supports\RomPil_4H.common.ovl,3,RomPil_4H_L1|RomPil_4H_L2|RomPil_4H_L3,
Supports\RomPil_4H.unique.ovl,3,RomPil_4H_L1|RomPil_4H_L2|RomPil_4H_L3,
Supports\RomPil_8H.common.ovl,3,RomPil_8H_L1|RomPil_8H_L2|RomPil_8H_L3,
Supports\RomPil_8H.unique.ovl,3,RomPil_8H_L1|RomPil_8H_L2|RomPil_8H_L3,
Supports\Supports.common.ovl,44,ts6_supporttop_1H_ME|ts7_support_1H_HI|ts7_support_1H_LO,
Supports\Supports.unique.ovl,44,ts6_supporttop_1H_ME|ts7_support_1H_HI|ts7_support_1H_LO,
test\Shapes.common.ovl,11,20polybox|FloorPiece|QuarterBlock,
