file,decoded,ftx_entries,crash
Main.common.ovl,90,4,
nullbmp.common.ovl,1,1,
ACAM\ACAM.common.ovl,0,0,
ACAM\Buggy.common.ovl,1,1,
ACAM\Truck.common.ovl,2,2,
ACAM\Vehicles.common.ovl,0,0,
ACAM\VehiclesShared.common.ovl,1,1,
Animals\Animals.common.ovl,0,0,
CarriedItems\CTCarriedItems.common.ovl,1,1,
CarriedItems\MainCarriedItems.common.ovl,13,9,
CarriedItems\MoreCarriedItems.common.ovl,2,0,
CarriedItems\SafariCarriedTextures.common.ovl,1,1,
CarriedItems\WildCarriedItems.common.ovl,8,6,
CarriedItems\WildTextures.common.ovl,1,1,
Cars\Cars.common.ovl,0,0,
Characters\Characters.common.ovl,0,0,
Characters\DummyTexture.common.ovl,0,0,
ContentPacks\ContentPack0000.common.ovl,0,0,
ContentPacks\ContentPack0001.common.ovl,0,0,
Enclosures\EnclosureIcons.common.ovl,2,0,
Enclosures\Enclosures.common.ovl,0,0,
Enclosures\WardensShed_data.common.ovl,1,1,
gui\Danish.common.ovl,0,0,
gui\Dutch.common.ovl,0,0,
gui\English.common.ovl,0,0,
gui\Finnish.common.ovl,0,0,
gui\French.common.ovl,0,0,
gui\German.common.ovl,0,0,
gui\Italian.common.ovl,0,0,
gui\Norwegian.common.ovl,0,0,
gui\SChinese.common.ovl,3,0,
gui\Spanish.common.ovl,0,0,
gui\Swedish.common.ovl,0,0,
Inventions\Inventions.common.ovl,0,0,
Lights\Lights.common.ovl,5,0,
Objects\Objects.common.ovl,0,0,
Particles\Particles.common.ovl,0,0,
Path\Path.common.ovl,0,0,
Path\PathIcons.common.ovl,0,0,
Pool\Pool.common.ovl,0,0,
Pool\PoolIcons.common.ovl,0,0,
Queue\Queue.common.ovl,0,0,
Queue\QueueIcons.common.ovl,1,0,
Rain\Rain.common.ovl,2,0,
RideIcons\RideIcons.common.ovl,6,0,
Sky\EnvCubemaps.common.ovl,0,0,
Sky\EnvCubemap_City.common.ovl,7,0,
Sky\EnvCubemap_Desert.common.ovl,7,0,
Sky\EnvCubemap_Hill.common.ovl,7,0,
Sky\EnvCubemap_Island.common.ovl,7,0,
Sky\EnvCubemap_Mountain.common.ovl,7,0,
Sky\EnvCubemap_Snow.common.ovl,7,0,
Sky\EnvCubemap_Space.common.ovl,7,0,
Sky\EnvCubemap_Spooky.common.ovl,7,0,
Sky\Sky.common.ovl,24,0,
Sounds\Sounds.common.ovl,0,0,
StaffUniforms\IconsShared.common.ovl,1,0,
Style\SceneryIcons.common.ovl,21,0,
Style\ShopsIcons.common.ovl,2,0,
Supports\GirderSingle.common.ovl,0,0,
