file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track1\Track1.common.ovl,tks,16,"Medcurve; Photosection; Stationmiddle"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track1\Track1.unique.ovl,tks,16,"Medcurve; Photosection; Stationmiddle"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track10\Track10.common.ovl,tks,100,"Medslopetightcurverightchain; 45steepslope2medslopetiltleft; Medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track10\Track10.unique.ovl,tks,100,"Medslopetightcurverightchain; 45steepslope2medslopetiltleft; Medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track11\Track11.common.ovl,tks,139,"Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track11\Track11.unique.ovl,tks,139,"Steepslopetightcurveleft; 45medslope2straighttiltright; Tilted45medslopeloosecurveright"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track12\Track12.common.ovl,tks,38,"45medslope2straight; 45medslope2straighttiltleft; 45medslope2straighttiltright"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track12\Track12.unique.ovl,tks,38,"45medslope2straight; 45medslope2straighttiltleft; 45medslope2straighttiltright"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track13\Track13.common.ovl,tks,88,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track13\Track13.unique.ovl,tks,88,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track14\Track14.common.ovl,tks,24,"45medslope2straight; 45medslope2straightchain; 45medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track14\Track14.unique.ovl,tks,24,"45medslope2straight; 45medslope2straightchain; 45medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track15\Track15.common.ovl,tks,158,"45invmedslope2steepslope; 45invmedslope2straight; 45invmedslope2tiltleft"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track15\Track15.unique.ovl,tks,158,"45invmedslope2steepslope; 45invmedslope2straight; 45invmedslope2tiltleft"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track16\Track16.common.ovl,tks,15,"Medcurve; Medslope2straight; Medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track16\Track16.unique.ovl,tks,15,"Medcurve; Medslope2straight; Medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track17\Track17.common.ovl,tks,23,"45medslope2straight; 45medslope2straightchain; 45medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track17\Track17.unique.ovl,tks,23,"45medslope2straight; 45medslope2straightchain; 45medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track18\Track18.common.ovl,tks,39,"45invmedslope2steepslope; 45invmedslope2straight; 45invmedslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track18\Track18.unique.ovl,tks,39,"45invmedslope2steepslope; 45invmedslope2straight; 45invmedslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track19\Track19.common.ovl,tks,23,"Medslopechain; Tilt; Medcurve2TiltedMedcurveRight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track19\Track19.unique.ovl,tks,23,"Medslopechain; Tilt; Medcurve2TiltedMedcurveRight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track2\Track2.common.ovl,tks,55,"Medslopechain; Helixlargeupright; Tiltright2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track2\Track2.unique.ovl,tks,55,"Medslopechain; Helixlargeupright; Tiltright2medslope"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track20\Track20.common.ovl,tks,83,"steepslopetightcurveleft; medslopechain; straighttiltleft2medslopetightcurveleft"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track20\Track20.unique.ovl,tks,83,"steepslopetightcurveleft; medslopechain; straighttiltleft2medslopetightcurveleft"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track21\Track21.common.ovl,tks,22,"Medcurve; Medslope2steepslope; Medslope2steepslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track21\Track21.unique.ovl,tks,22,"Medcurve; Medslope2steepslope; Medslope2steepslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track22\Track22.common.ovl,tks,89,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track22\Track22.unique.ovl,tks,89,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track23\Track23.common.ovl,tks,76,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track23\Track23.unique.ovl,tks,76,"45medslope2steepslope; 45medslope2straight; 45medslope2straightchain"
