segment_archive,addon,defined_tks,ride_count,rides
${RCT3_PATH}/tracks/coasters/Track1/Track1,Vanilla,16,5,AirPoweredRC|ReverseCoaster|AirBoat|PaddleSteamer|TourBoats
${RCT3_PATH}/tracks/coasters/Track10/Track10,Vanilla,100,28,JuniorCoaster|MiniSuspended|SideFriction|SuspendedFlying|WaterCoaster|BumperBoats|Canoes|Car|ElephantTransport|HoponTram|JetSkis|MiniHeli|MiniSubs|MinRail|Mono|MotorBikes|RowingBoats|SafariTrain|SafariTransport|Soapbox|SqueakyCycles|SteepleChase|SuspendedMono|SwanBoats|Tram|VintageCars|WaterTricycles|Windsurfer
${RCT3_PATH}/tracks/coasters/Track11/Track11,Vanilla,139,4,BoosterBikes|LIMLaunched|LoopingRC|StratoCoaster
${RCT3_PATH}/tracks/coasters/Track12/Track12,Vanilla,38,1,MineRide
${RCT3_PATH}/tracks/coasters/Track13/Track13,Vanilla,88,2,MiniCoaster|SpiralCoaster
${RCT3_PATH}/tracks/coasters/Track14/Track14,,24,0,
${RCT3_PATH}/tracks/coasters/Track15/Track15,Vanilla,158,2,MineTrain|MultiDimensional
${RCT3_PATH}/tracks/coasters/Track16/Track16,Wild,15,1,Reverser
${RCT3_PATH}/tracks/coasters/Track17/Track17,,23,0,
${RCT3_PATH}/tracks/coasters/Track18/Track18,Vanilla,39,1,SuspendedSwinging
${RCT3_PATH}/tracks/coasters/Track19/Track19,Wild,23,1,VirginiaReel
${RCT3_PATH}/tracks/coasters/Track2/Track2,Vanilla,55,2,BobSleigh|Flyturn
${RCT3_PATH}/tracks/coasters/Track20/Track20,Vanilla,83,1,WoodenRC
${RCT3_PATH}/tracks/coasters/Track21/Track21,Wild,22,2,WoodenWildMine|WoodenWildMouse
${RCT3_PATH}/tracks/coasters/Track22/Track22,Vanilla,89,2,SpinningSteel|StandupCoaster
${RCT3_PATH}/tracks/coasters/Track23/Track23,,76,0,
${RCT3_PATH}/tracks/coasters/Track24/Track24,Vanilla,84,1,Pipeline
${RCT3_PATH}/tracks/coasters/Track25/Track25,,34,0,
${RCT3_PATH}/tracks/coasters/Track26/Track26,Soaked,5,1,Halfpipe
